Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Gaussian_Config1_Approx_100_7bit_A_cir18,10.944,57.237,490
Gaussian_Config1_Approx_100_10_7bit_C_cir19,10.944,62.356,490
Gaussian_Config1_Approx_10_7bit_C_cir7,10.944,62.357,490
Gaussian_Config1_Approx_100_10_7bit_B_cir19,10.944,62.358,490
Gaussian_Config1_Approx_10_10_SL_7bit_A_cir14,10.944,67.48,490
Gaussian_Config1_Approx_100_10_7bit_C_cir13,10.944,72.593,490
Gaussian_Config1_Approx_100_10_7bit_C_cir10,10.944,72.594,490
Gaussian_Config1_Approx_100_7bit_C_cir19,10.944,72.596,490
Gaussian_Config1_Approx_100_7bit_B_cir18,11.286,50.073,568
Gaussian_Config1_Approx_100_7bit_C_cir4,13.338,38.968,760
Gaussian_Config4_Approx_10_7bit_B_cir7,28.728,214.159,796
Gaussian_Config4_Approx_100_7bit_C_cir6,29.07,271.738,1109
Gaussian_Config4_Approx_100_7bit_B_cir9,29.07,292.345,935
Gaussian_Config4_Approx_100_7bit_C_cir12,29.412,189.969,911
Gaussian_Config4_Approx_10_7bit_C_cir19,29.412,246.26,1085
Gaussian_Config4_Approx_100_7bit_A_cir8,29.754,265.622,816
Gaussian_Config4_Approx_100_7bit_C_cir16,29.754,347.463,965
Gaussian_Config4_Approx_10_7bit_C_cir17,30.438,291.705,1141
Gaussian_Config4_Approx_10_7bit_C_cir4,30.78,296.459,820
Gaussian_Config4_Approx_10_7bit_C_cir6,30.78,315.361,718
Gaussian_Config4_Approx_100_7bit_B_cir12,30.78,318.825,984
Gaussian_Config4_Approx_100_7bit_C_cir2,30.78,359.546,938
Gaussian_Config4_Approx_100_7bit_C_cir18,31.122,386.242,1083
Gaussian_Config4_Approx_100_10_7bit_C_cir8,31.122,426.549,732
Gaussian_Config4_Approx_100_7bit_C_cir11,31.806,326.014,844
Gaussian_Config4_Approx_100_7bit_B_cir8,31.806,360.011,891
Gaussian_Config4_Approx_100_7bit_A_cir7,32.148,285.894,976
Gaussian_Config4_Approx_100_7bit_A_cir14,32.148,352.292,784
Gaussian_Config4_Approx_10_7bit_B_cir12,32.148,365.34,758
Gaussian_Config4_Approx_100_7bit_C_cir10,32.49,261.274,959
Gaussian_Config4_Approx_10_7bit_C_cir3,32.832,241.723,821
Gaussian_Config4_Approx_10_7bit_B_cir17,32.832,246.119,1140
Gaussian_Config4_Approx_10_7bit_B_cir2,33.174,296.141,1164
Gaussian_Config4_Approx_100_7bit_B_cir14,33.174,315.803,852
Gaussian_Config4_Approx_100_7bit_C_cir8,33.174,333.595,820
Gaussian_Config4_Approx_10_7bit_A_cir6,33.174,402.372,786
Gaussian_Config4_Approx_10_7bit_C_cir1,33.174,428.422,918
Gaussian_Config4_Approx_10_7bit_C_cir14,33.516,319.554,858
Gaussian_Config4_Approx_10_7bit_C_cir7,33.516,417.234,999
Gaussian_Config4_Approx_10_7bit_C_cir11,33.516,435.231,1039
Gaussian_Config4_Approx_100_7bit_B_cir4,34.2,250.419,1107
Gaussian_Config4_Approx_10_7bit_C_cir9,34.2,346.177,1078
Gaussian_Config4_Approx_100_7bit_C_cir4,34.884,235.849,1223
Gaussian_Config4_Approx_100_7bit_C_cir5,34.884,283.409,868
Gaussian_Config4_Approx_100_7bit_C_cir0,34.884,292.695,940
Gaussian_Config4_Approx_100_7bit_C_cir19,34.884,324.401,576
Gaussian_Config4_Approx_100_7bit_C_cir9,35.226,319.09,896
Gaussian_Config4_Approx_10_7bit_C_cir13,35.226,381.29,1097
Gaussian_Config4_Approx_100_7bit_C_cir14,35.91,380.511,1125
Gaussian_Config4_Approx_10_7bit_B_cir8,36.252,442.593,935
Gaussian_Config4_Approx_10_7bit_C_cir8,36.594,199.256,1111
Gaussian_Config4_Approx_100_7bit_C_cir17,36.936,219.244,1339
Gaussian_Config4_Approx_100_7bit_C_cir13,36.936,298.765,955
Gaussian_Config4_Approx_100_7bit_B_cir5,36.936,371.014,881
Gaussian_Config4_Approx_100_7bit_A_cir19,37.62,303.709,1356
Gaussian_Config4_Approx_100_10_7bit_C_cir3,37.62,437.839,1134
Gaussian_Config4_Approx_100_7bit_C_cir15,38.304,335.194,1428
Gaussian_Config4_Approx_10_7bit_C_cir0,39.672,382.169,1024
Gaussian_Config4_Approx_10_7bit_C_cir5,43.776,416.018,1191
Gaussian_Config4_Approx_100_7bit_C_cir7,45.144,386.098,1460
Gaussian_Config3_Approx_10_7bit_C_cir7,50.274,635.223,1372
Gaussian_Config3_Approx_10_7bit_C_cir16,52.326,676.028,1334
Gaussian_Config3_Approx_100_7bit_C_cir1,53.01,792.418,1412
Gaussian_Config3_Approx_10_7bit_C_cir10,53.694,651.272,1728
Gaussian_Config3_Approx_100_7bit_C_cir0,54.378,659.621,1275
Gaussian_Config3_Approx_100_7bit_C_cir10,54.378,766.637,1447
Gaussian_Config3_Approx_100_7bit_C_cir6,54.72,697.371,1142
Gaussian_Config3_Approx_100_7bit_C_cir14,55.062,780.4,1143
Gaussian_Config3_Approx_100_7bit_C_cir15,55.404,754.755,1574
Gaussian_Config3_Approx_10_7bit_C_cir5,55.746,799.426,1288
Gaussian_Config3_Approx_10_7bit_C_cir14,55.746,827.122,1379
Gaussian_Config3_Approx_100_7bit_C_cir18,56.088,709.473,1289
Gaussian_Config3_Approx_100_7bit_C_cir19,56.772,766.703,1246
Gaussian_Config3_Approx_10_7bit_C_cir2,56.772,836.072,1112
Gaussian_Config3_Approx_100_7bit_C_cir17,57.114,787.967,1672
Gaussian_Config3_Approx_10_7bit_C_cir15,58.14,824.911,1066
Gaussian_Config3_Approx_100_7bit_C_cir3,58.14,881.881,994
Gaussian_Config3_Approx_100_7bit_C_cir5,58.14,933.883,1278
Gaussian_Config3_Approx_100_7bit_C_cir7,58.14,1122.398,1471
