Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
Gaussian_Config1_Approx_100_8bit_B_cir13,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_10_8bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_B_cir6,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_B_cir16,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_10_8bit_B_cir5,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_A_cir3,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_B_cir18,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_A_cir9,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir8,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config1_Approx_100_8bit_C_cir19,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config4_Approx_100_8bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config4_Approx_10_8bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config4_Approx_100_8bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config4_Approx_100_8bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir16,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_10_8bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir2,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir9,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_10_8bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_10_8bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir4,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_10_8bit_C_cir17,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config3_Approx_100_8bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config2_Approx_100_8bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
Gaussian_Config4_Approx_100_8bit_C_cir10,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_B_cir5,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_B_cir8,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_10_8bit_B_cir7,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_B_cir18,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_10_8bit_C_cir17,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_C_cir9,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_C_cir4,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_C_cir19,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_10_8bit_C_cir6,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_10_8bit_C_cir3,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config4_Approx_100_8bit_C_cir15,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir12,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir4,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir2,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir18,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir7,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir0,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_100_8bit_C_cir7,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir9,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_100_8bit_C_cir3,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_10_8bit_C_cir8,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_100_8bit_C_cir8,1,0.00390625,0.015625,0,0.0009765625,1,6.103515625e-05,9.5367431640625e-07,6.103515625e-05,0,0
Gaussian_Config3_Approx_100_8bit_C_cir14,1,0.00390625,0.125,0,0.0078125,1,0.00048828125,6.103515625e-05,0.00048828125,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_A_cir8,1,0.00390625,1,0,0.0625,1,0.00390625,0.00390625,0.00390625,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir18,1,0.00390625,1,0,0.0625,1,0.00390625,0.00390625,0.00390625,0,0
Gaussian_Config4_Approx_100_8bit_C_cir14,2,0.0078125,0.015625,0,0.00137835729557051,2,0.0001220703125,1.9073486328125e-06,0.0001220703125,0,0
Gaussian_Config4_Approx_100_8bit_C_cir3,2,0.0078125,0.0625,0,0.00402275330894974,2,0.00030517578125,1.62124633789062e-05,0.00030517578125,0,0
Gaussian_Config1_Approx_100_10_8bit_A_cir17,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_B_cir19,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_B_cir1,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_A_cir9,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir14,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_C_cir12,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_B_cir18,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir3,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_C_cir9,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir2,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir17,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_A_cir10,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir9,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir8,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir10,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_A_cir10,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_A_cir17,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir10,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_A_cir4,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir9,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir1,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_B_cir7,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir12,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir4,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_C_cir4,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_C_cir9,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_A_cir8,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_B_cir8,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_B_cir16,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_B_cir15,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir11,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_C_cir15,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_B_cir14,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_A_cir19,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_A_cir13,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir11,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_B_cir17,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_C_cir2,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_8bit_A_cir13,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_C_cir5,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_B_cir7,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir0,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_C_cir12,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_8bit_C_cir6,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir6,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_10_10_SL_8bit_C_cir13,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
Gaussian_Config1_Approx_100_10_8bit_C_cir13,2,0.0078125,0.359375,0,0.0224783307282465,5,0.00146484375,0.000505447387695312,0.00146484375,0,0
