Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Sigmoid_Config1_Approx_100_6bit_C_cir14,12.996,120.843,410
Sigmoid_Config1_Approx_100_6bit_C_cir19,14.706,132.758,434
Sigmoid_Config1_Approx_10_6bit_C_cir6,14.706,132.759,434
Sigmoid_Config1_Approx_100_6bit_B_cir2,14.706,132.761,434
Sigmoid_Config2_Approx_100_6bit_C_cir8,30.78,502.289,959
Sigmoid_Config2_Approx_100_6bit_C_cir11,31.806,314.746,560
Sigmoid_Config2_Approx_100_6bit_C_cir6,31.806,319.394,560
Sigmoid_Config2_Approx_10_6bit_C_cir6,31.806,550.391,1011
Sigmoid_Config2_Approx_10_6bit_C_cir4,32.49,397.254,902
Sigmoid_Config2_Approx_100_6bit_C_cir12,32.832,488.174,1083
Sigmoid_Config3_Approx_10_6bit_C_cir16,33.174,428.075,618
Sigmoid_Config2_Approx_10_6bit_C_cir10,33.174,443.078,1158
Sigmoid_Config2_Approx_100_6bit_C_cir18,33.174,458.357,992
Sigmoid_Config3_Approx_10_6bit_C_cir14,33.174,571.429,1192
Sigmoid_Config3_Approx_100_6bit_C_cir15,33.516,557.892,1041
Sigmoid_Config3_Approx_10_6bit_C_cir9,33.858,422.682,616
Sigmoid_Config2_Approx_100_6bit_C_cir15,34.2,433.047,1391
Sigmoid_Config2_Approx_100_6bit_C_cir13,34.2,498.895,812
Sigmoid_Config2_Approx_100_6bit_C_cir17,34.2,536.911,848
Sigmoid_Config3_Approx_10_6bit_C_cir8,34.2,569.879,875
Sigmoid_Config3_Approx_100_6bit_C_cir1,34.884,555.423,1152
Sigmoid_Config3_Approx_10_6bit_C_cir10,35.226,465.147,1081
Sigmoid_Config3_Approx_100_6bit_C_cir3,35.226,513.948,858
Sigmoid_Config2_Approx_10_6bit_C_cir7,35.226,698.749,1126
Sigmoid_Config2_Approx_100_6bit_C_cir7,35.568,544.967,1144
Sigmoid_Config2_Approx_100_6bit_C_cir0,35.91,388.262,1132
Sigmoid_Config3_Approx_100_6bit_C_cir12,35.91,533.308,910
