Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
Softplus_Config1_Approx_100_10_5bit_cir1,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config2_Approx_100_10_5bit_cir1,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir4,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir3,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir5,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir12,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir13,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir10,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir6,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir13,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir8,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir18,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir19,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_100_5bit_cir18,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir9,0,0,0,0,0,0,0,0,0,0,0
Softplus_Config3_Approx_10_5bit_cir11,1,0.03125,0.25,0,0.0441941738241592,1,0.0078125,0.001953125,0.0078125,0,0
Softplus_Config3_Approx_10_5bit_cir14,1,0.03125,0.25,0,0.0441941738241592,1,0.0078125,0.001953125,0.0078125,0,0
Softplus_Config3_Approx_10_5bit_cir1,1,0.03125,0.5,0,0.0883883476483184,1,0.015625,0.0078125,0.0125,0,0
