Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
Softplus_Config1_Approx_100_10_8bit_cir0,9.576,139.82,68
Softplus_Config4_Approx_100_8bit_cir4,61.902,964.273,1555
Softplus_Config4_Approx_100_8bit_cir2,63.27,597.762,1088
Softplus_Config4_Approx_10_8bit_cir18,66.69,809.761,1399
Softplus_Config4_Approx_100_8bit_cir1,67.032,660.391,1385
Softplus_Config4_Approx_100_8bit_cir5,68.058,791.204,1268
Softplus_Config4_Approx_10_8bit_cir16,68.742,820.819,1759
Softplus_Config4_Approx_100_8bit_cir12,69.426,1036.769,1499
Softplus_Config4_Approx_100_8bit_cir13,71.478,855.106,1763
Softplus_Config4_Approx_100_8bit_cir0,74.214,922.67,1742
Softplus_Config4_Approx_100_8bit_cir10,74.898,987.375,1601
Softplus_Config2_Approx_100_8bit_cir2,106.704,1277.903,2002
Softplus_Config2_Approx_10_8bit_cir11,110.124,1568.02,2928
Softplus_Config2_Approx_100_8bit_cir6,112.86,1220.869,2281
Softplus_Config2_Approx_100_8bit_cir0,116.622,1729.667,2064
Softplus_Config2_Approx_100_8bit_cir17,122.094,1756.927,1860
Softplus_Config2_Approx_100_8bit_cir4,124.83,1631.884,2143
Softplus_Config2_Approx_100_8bit_cir9,127.224,1550.081,2558
Softplus_Config2_Approx_100_8bit_cir13,127.224,1974.257,2362
Softplus_Config2_Approx_10_8bit_cir10,133.722,1925.525,2367
Softplus_Config2_Approx_100_8bit_cir15,135.09,1811.767,1947
Softplus_Config2_Approx_100_8bit_cir16,135.774,1998.436,2047
Softplus_Config2_Approx_10_8bit_cir13,125.172,2038.186,2149
Softplus_Config2_Approx_100_8bit_cir12,121.068,1746.488,2062
Softplus_Config2_Approx_100_8bit_cir8,102.942,1444.36,1552
Softplus_Config2_Approx_100_8bit_cir19,112.86,1343.202,1998
Softplus_Config2_Approx_100_8bit_cir1,130.986,1896.116,2386
Softplus_Config4_Approx_100_8bit_cir16,56.43,534.972,1017
Softplus_Config4_Approx_10_8bit_cir14,56.772,503.11,1218
Softplus_Config4_Approx_10_8bit_cir13,57.456,453.832,1354
Softplus_Config4_Approx_10_8bit_cir19,57.798,740.698,1695
Softplus_Config4_Approx_100_8bit_cir6,58.14,827.321,1566
Softplus_Config4_Approx_10_8bit_cir4,59.508,432.009,1172
Softplus_Config4_Approx_100_8bit_cir11,59.508,536.688,1380
Softplus_Config4_Approx_100_8bit_cir3,59.508,614.088,1529
Softplus_Config4_Approx_100_8bit_cir17,61.56,534.375,1649
Softplus_Config4_Approx_100_8bit_cir14,61.902,602.482,1123
Softplus_Config4_Approx_10_8bit_cir5,62.586,609.431,2034
Softplus_Config4_Approx_100_8bit_cir15,63.27,662.367,1525
Softplus_Config4_Approx_10_8bit_cir11,64.296,891.759,1684
Softplus_Config4_Approx_10_8bit_cir2,65.322,551.742,1220
Softplus_Config4_Approx_10_8bit_cir0,65.664,617.847,1513
Softplus_Config4_Approx_100_8bit_cir9,67.716,776.676,1766
Softplus_Config4_Approx_100_8bit_cir8,68.742,689.431,1361
Softplus_Config4_Approx_10_8bit_cir17,69.084,570.263,1946
Softplus_Config4_Approx_10_8bit_cir7,69.768,874.753,1287
Softplus_Config4_Approx_100_8bit_cir18,70.452,741.287,1126
Softplus_Config4_Approx_10_8bit_cir1,72.504,688.513,1713
Softplus_Config4_Approx_10_8bit_cir9,73.53,686.68,1543
Softplus_Config4_Approx_100_8bit_cir7,77.292,733.327,1647
Softplus_Config2_Approx_100_8bit_cir10,122.436,1677.479,2397
Softplus_Config2_Approx_10_8bit_cir7,112.176,1502.602,2056
Softplus_Config2_Approx_10_8bit_cir4,125.856,1449.648,2131
Softplus_Config2_Approx_100_8bit_cir3,114.228,1373.845,2151
Softplus_Config2_Approx_10_8bit_cir19,108.756,1745.425,2082
Softplus_Config4_Approx_100_8bit_cir19,66.348,677.953,1535
Softplus_Config2_Approx_10_8bit_cir1,119.7,1444.943,2354
Softplus_Config2_Approx_10_8bit_cir3,115.596,1872.332,1846
Softplus_Config2_Approx_10_8bit_cir6,124.83,1749.055,1614
Softplus_Config2_Approx_100_8bit_cir7,112.176,1362.482,2012
Softplus_Config4_Approx_10_8bit_cir8,62.586,614.557,1465
Softplus_Config2_Approx_100_8bit_cir5,124.146,1607.081,1868
Softplus_Config2_Approx_10_8bit_cir15,110.808,1475.358,1852
Softplus_Config2_Approx_100_8bit_cir11,117.648,1552.413,1835
Softplus_Config2_Approx_10_8bit_cir9,103.626,1310.227,2310
Softplus_Config2_Approx_10_8bit_cir16,110.466,1383.065,2080
Softplus_Config2_Approx_100_8bit_cir14,130.302,1693.833,2768
Softplus_Config2_Approx_10_8bit_cir14,115.596,1413.299,2000
Softplus_Config2_Approx_10_8bit_cir2,130.986,1785.746,1810
Softplus_Config2_Approx_10_8bit_cir5,112.176,1603.626,2115
Softplus_Config2_Approx_10_8bit_cir12,125.856,1617.067,2101
Softplus_Config2_Approx_10_8bit_cir18,135.432,1937.201,2816
Softplus_Config2_Approx_10_8bit_cir8,121.752,1550.401,1843
Softplus_Config2_Approx_10_8bit_cir17,124.146,1555.199,2071
Softplus_Config2_Approx_100_8bit_cir18,109.44,1319.859,1847
Softplus_Config2_Approx_10_8bit_cir0,109.098,1411.156,1921
Softplus_Config4_Approx_10_10_SL_8bit_cir2,41.04,423.635,932
Softplus_Config4_Approx_10_8bit_cir6,46.854,387.236,1216
Softplus_Config4_Approx_10_8bit_cir12,47.196,378.251,1308
Softplus_Config4_Approx_10_8bit_cir15,50.274,397.113,1671
Softplus_Config4_Approx_100_10_8bit_cir7,41.724,453.765,1103
Softplus_Config4_Approx_10_8bit_cir3,37.962,269.399,1023
Softplus_Config4_Approx_10_8bit_cir10,47.538,413.664,1120
Softplus_Config4_Approx_100_10_8bit_cir9,40.356,333.433,1129
Softplus_Config4_Approx_100_10_8bit_cir3,34.2,335.489,705
Softplus_Config4_Approx_100_10_8bit_cir10,37.962,272.691,978
Softplus_Config4_Approx_100_10_8bit_cir14,40.356,278.756,1116
Softplus_Config4_Approx_100_10_8bit_cir6,34.2,265.95,814
Softplus_Config4_Approx_100_10_8bit_cir5,34.884,284.353,642
Softplus_Config4_Approx_100_10_8bit_cir19,35.226,284.376,957
Softplus_Config4_Approx_100_10_8bit_cir8,37.962,296.023,1086
Softplus_Config4_Approx_100_10_8bit_cir16,38.646,387.322,1191
Softplus_Config4_Approx_100_10_8bit_cir17,36.594,306.241,809
Softplus_Config4_Approx_100_10_8bit_cir15,31.806,225.763,1024
Softplus_Config4_Approx_10_10_SL_8bit_cir8,29.754,321.147,1164
Softplus_Config4_Approx_100_10_8bit_cir0,38.988,316.341,1122
Softplus_Config4_Approx_100_10_8bit_cir12,31.806,258.718,779
Softplus_Config4_Approx_100_10_8bit_cir2,33.516,248.649,1322
Softplus_Config4_Approx_100_10_8bit_cir13,42.408,376.88,876
Softplus_Config4_Approx_100_10_8bit_cir18,36.936,316.398,823
Softplus_Config4_Approx_10_10_SL_8bit_cir13,35.568,357.608,736
Softplus_Config4_Approx_10_10_SL_8bit_cir1,28.386,269.322,639
Softplus_Config4_Approx_100_10_8bit_cir11,33.516,285.716,738
Softplus_Config4_Approx_10_10_SL_8bit_cir14,40.014,383.229,1348
Softplus_Config4_Approx_10_10_SL_8bit_cir5,30.096,218.236,649
Softplus_Config4_Approx_100_10_8bit_cir4,37.62,343.923,1162
Softplus_Config4_Approx_100_10_8bit_cir1,37.62,288.232,1113
Softplus_Config4_Approx_10_10_SL_8bit_cir11,28.044,248.803,1000
Softplus_Config4_Approx_10_10_SL_8bit_cir18,31.464,252.501,874
Softplus_Config4_Approx_10_10_SL_8bit_cir15,33.174,207.748,935
Softplus_Config4_Approx_10_10_SL_8bit_cir4,33.516,360.064,971
Softplus_Config4_Approx_10_10_SL_8bit_cir3,31.464,247.481,885
Softplus_Config4_Approx_10_10_SL_8bit_cir17,31.464,265.228,715
Softplus_Config4_Approx_10_10_SL_8bit_cir10,29.07,280.501,542
Softplus_Config4_Approx_10_10_SL_8bit_cir9,29.754,260.653,1348
Softplus_Config4_Approx_10_10_SL_8bit_cir12,25.65,222.069,669
Softplus_Config4_Approx_10_10_SL_8bit_cir6,32.832,283.568,1108
Softplus_Config4_Approx_10_10_SL_8bit_cir16,33.516,442.734,863
Softplus_Config4_Approx_10_10_SL_8bit_cir19,33.174,291.835,735
Softplus_Config4_Approx_10_10_SL_8bit_cir7,27.018,227.462,593
Softplus_Config4_Approx_10_10_SL_8bit_cir0,24.624,217.291,628
Softplus_Config2_Approx_10_10_SL_8bit_cir8,50.616,723.112,1059
Softplus_Config2_Approx_100_10_8bit_cir9,50.958,664.289,1022
