Circuit,Area_um_2_,Total_Power_nW_,Delay_ps__Critical_Path
tanh_Config1_Approx_10_6bit_C_cir0,12.996,94.766,453
tanh_Config1_Approx_100_6bit_C_cir13,12.996,119.585,453
tanh_Config1_Approx_100_6bit_C_cir11,14.022,112.871,453
tanh_Config1_Approx_100_10_6bit_C_cir0,14.022,117.88,453
tanh_Config1_Approx_10_6bit_C_cir15,14.022,120.421,488
tanh_Config1_Approx_100_10_6bit_C_cir5,14.022,135.461,375
tanh_Config1_Approx_100_10_6bit_C_cir13,15.39,147.178,453
tanh_Config1_Approx_100_6bit_C_cir3,16.074,125.754,536
tanh_Config1_Approx_100_6bit_C_cir4,16.074,133.051,528
tanh_Config1_Approx_100_10_6bit_C_cir6,16.416,196.624,520
tanh_Config4_Approx_100_6bit_C_cir11,27.018,316.34,474
tanh_Config4_Approx_10_6bit_C_cir1,28.728,349.097,964
tanh_Config4_Approx_100_6bit_C_cir0,29.07,361.391,655
tanh_Config4_Approx_100_6bit_C_cir10,29.754,337.355,942
tanh_Config4_Approx_100_6bit_C_cir1,30.78,272.523,498
tanh_Config4_Approx_100_6bit_C_cir3,32.49,349.908,1341
tanh_Config2_Approx_10_6bit_C_cir14,40.698,524.185,1122
tanh_Config2_Approx_100_6bit_C_cir10,47.196,595.869,1341
tanh_Config2_Approx_10_6bit_C_cir6,48.564,664.342,1019
tanh_Config2_Approx_100_6bit_C_cir12,49.248,716.743,1268
tanh_Config2_Approx_100_6bit_C_cir18,50.616,659.899,1020
tanh_Config2_Approx_100_6bit_C_cir15,50.616,696.117,1610
tanh_Config2_Approx_10_6bit_C_cir7,51.984,859.37,963
tanh_Config2_Approx_100_6bit_C_cir7,53.01,766.475,1600
tanh_Config2_Approx_10_6bit_C_cir3,53.01,798.759,1221
tanh_Config2_Approx_100_6bit_C_cir0,55.404,741.843,1671
tanh_Config2_Approx_10_6bit_C_cir2,56.772,960.464,1667
tanh_Config2_Approx_100_6bit_C_cir9,58.14,793.759,1730
tanh_Config2_Approx_100_6bit_C_cir3,60.192,922.434,1669
tanh_Config4_Approx_100_6bit_C_cir18,25.992,245.311,529
tanh_Config4_Approx_100_6bit_C_cir7,27.36,292.843,444
tanh_Config4_Approx_10_6bit_C_cir8,27.36,316.563,604
tanh_Config4_Approx_100_6bit_C_cir17,28.044,287.881,822
tanh_Config4_Approx_100_10_6bit_C_cir7,28.044,338.586,520
tanh_Config4_Approx_10_6bit_C_cir9,29.07,272.936,649
tanh_Config4_Approx_100_6bit_C_cir15,34.542,415.746,1065
tanh_Config4_Approx_100_6bit_C_cir4,37.278,347.317,1224
tanh_Config2_Approx_100_6bit_C_cir14,45.828,654.565,934
tanh_Config2_Approx_100_6bit_C_cir11,49.248,807.37,1170
tanh_Config2_Approx_100_6bit_C_cir4,49.59,848.538,1618
tanh_Config2_Approx_10_6bit_C_cir13,51.3,679.355,1299
tanh_Config2_Approx_100_6bit_C_cir16,51.984,740.007,1666
tanh_Config2_Approx_10_6bit_C_cir0,51.984,810.946,1522
tanh_Config4_Approx_10_6bit_C_cir12,27.36,260.57,471
tanh_Config4_Approx_100_10_6bit_C_cir19,30.438,345.718,948
tanh_Config2_Approx_100_6bit_C_cir5,46.854,679.218,1204
tanh_Config2_Approx_10_6bit_C_cir15,51.3,670.808,1312
tanh_Config2_Approx_100_6bit_C_cir2,55.062,812.097,1632
tanh_Config2_Approx_10_6bit_C_cir11,58.824,955.972,1112
tanh_Config1_Approx_100_10_6bit_A_cir13,8.208,101.482,394
tanh_Config1_Approx_100_10_6bit_B_cir5,8.55,73.245,419
tanh_Config1_Approx_100_6bit_C_cir9,8.892,56.976,372
tanh_Config1_Approx_10_10_SL_6bit_A_cir16,8.892,64.413,416
tanh_Config1_Approx_100_10_6bit_A_cir7,8.892,65.007,390
tanh_Config1_Approx_100_6bit_A_cir9,8.892,66.881,466
tanh_Config1_Approx_100_10_6bit_A_cir8,8.892,66.925,375
tanh_Config1_Approx_100_10_6bit_B_cir9,8.892,70.727,499
tanh_Config1_Approx_100_10_6bit_C_cir7,8.892,73.685,380
tanh_Config1_Approx_10_6bit_B_cir8,8.892,95.728,436
tanh_Config1_Approx_100_6bit_A_cir6,9.234,52.854,356
tanh_Config1_Approx_100_6bit_A_cir18,9.234,61.629,443
tanh_Config1_Approx_100_6bit_B_cir8,9.234,67.144,312
tanh_Config1_Approx_100_10_6bit_C_cir15,9.234,81.832,379
tanh_Config1_Approx_100_10_6bit_A_cir0,9.234,83.285,372
tanh_Config1_Approx_100_10_6bit_A_cir10,9.234,87.484,410
tanh_Config1_Approx_100_10_6bit_C_cir9,9.234,104.321,368
tanh_Config1_Approx_10_6bit_B_cir2,9.576,60.089,461
tanh_Config1_Approx_100_6bit_B_cir15,9.576,70.99,514
tanh_Config1_Approx_100_10_6bit_B_cir4,9.576,72.917,366
tanh_Config1_Approx_100_10_6bit_B_cir13,9.576,74.772,332
tanh_Config1_Approx_10_6bit_C_cir3,9.576,77.018,377
tanh_Config1_Approx_100_10_6bit_A_cir19,9.576,79.352,565
tanh_Config1_Approx_100_6bit_B_cir6,9.576,79.392,615
tanh_Config1_Approx_10_6bit_C_cir10,9.576,81.583,384
tanh_Config1_Approx_10_10_SL_6bit_B_cir7,9.576,85.172,432
tanh_Config1_Approx_100_6bit_B_cir12,9.576,89.862,445
tanh_Config1_Approx_100_10_6bit_B_cir11,9.576,91.592,370
tanh_Config1_Approx_10_10_SL_6bit_B_cir6,9.576,98.064,417
tanh_Config1_Approx_100_6bit_B_cir19,9.918,67.785,410
tanh_Config1_Approx_10_6bit_A_cir13,9.918,69.081,493
tanh_Config1_Approx_10_10_SL_6bit_C_cir7,9.918,69.637,466
tanh_Config1_Approx_100_10_6bit_A_cir18,9.918,70.517,427
tanh_Config1_Approx_10_6bit_A_cir17,9.918,88.926,451
tanh_Config1_Approx_10_6bit_C_cir8,9.918,96.264,472
tanh_Config1_Approx_10_10_SL_6bit_A_cir8,9.918,96.763,520
tanh_Config1_Approx_10_10_SL_6bit_A_cir6,9.918,100.651,479
tanh_Config1_Approx_10_6bit_C_cir16,9.918,101.513,483
tanh_Config1_Approx_10_6bit_B_cir3,9.918,102.007,532
tanh_Config1_Approx_100_10_6bit_A_cir14,9.918,102.01,491
tanh_Config1_Approx_10_10_SL_6bit_C_cir9,9.918,106.658,405
tanh_Config1_Approx_100_6bit_A_cir2,9.918,112.439,378
tanh_Config1_Approx_100_6bit_B_cir18,10.26,75.983,443
tanh_Config1_Approx_10_10_SL_6bit_C_cir13,10.26,102.15,378
tanh_Config1_Approx_10_6bit_A_cir9,10.26,106.689,410
tanh_Config1_Approx_100_10_6bit_C_cir11,10.602,75.81,558
tanh_Config1_Approx_10_10_SL_6bit_B_cir18,10.602,86.722,619
tanh_Config1_Approx_10_10_SL_6bit_A_cir13,10.602,90.491,439
tanh_Config1_Approx_10_10_SL_6bit_B_cir9,10.602,91.133,417
tanh_Config1_Approx_100_6bit_C_cir14,10.602,92.044,357
tanh_Config1_Approx_10_10_SL_6bit_B_cir4,10.602,95.193,535
tanh_Config1_Approx_100_10_6bit_C_cir4,10.602,96.64,376
tanh_Config1_Approx_100_6bit_C_cir19,10.602,97.68,491
tanh_Config1_Approx_100_10_6bit_A_cir12,10.602,98.045,436
tanh_Config1_Approx_100_6bit_A_cir10,10.602,108.672,422
tanh_Config1_Approx_100_10_6bit_A_cir3,10.602,129.837,538
tanh_Config1_Approx_10_10_SL_6bit_B_cir13,10.944,83.442,542
tanh_Config1_Approx_10_6bit_B_cir4,11.286,92.187,523
tanh_Config1_Approx_100_10_6bit_B_cir19,11.286,95.982,448
tanh_Config1_Approx_100_10_6bit_B_cir14,11.286,98.978,522
tanh_Config1_Approx_100_6bit_A_cir1,11.286,105.899,495
tanh_Config1_Approx_100_10_6bit_B_cir10,11.286,118.531,341
tanh_Config1_Approx_100_6bit_B_cir3,11.286,143.499,459
tanh_Config1_Approx_100_10_6bit_A_cir16,11.628,89.766,558
tanh_Config1_Approx_100_10_6bit_A_cir1,11.628,104.499,482
tanh_Config1_Approx_10_10_SL_6bit_B_cir11,11.628,131.2,353
tanh_Config1_Approx_100_6bit_A_cir17,11.628,132.646,529
tanh_Config1_Approx_100_10_6bit_A_cir6,11.97,139.826,463
tanh_Config1_Approx_100_6bit_C_cir5,12.312,128.74,676
tanh_Config1_Approx_100_6bit_A_cir12,12.654,155.911,360
tanh_Config2_Approx_100_6bit_C_cir6,45.486,624.067,1198
tanh_Config2_Approx_10_6bit_C_cir19,47.538,681.463,1230
tanh_Config4_Approx_100_10_6bit_C_cir10,32.148,412.678,1106
tanh_Config2_Approx_100_6bit_C_cir17,48.222,660.581,1139
tanh_Config2_Approx_100_6bit_C_cir8,57.456,885.526,1205
tanh_Config2_Approx_100_6bit_C_cir13,47.88,850.297,1300
tanh_Config2_Approx_10_6bit_C_cir10,51.3,649.196,1582
tanh_Config2_Approx_100_6bit_C_cir19,58.482,782.149,1346
tanh_Config4_Approx_100_6bit_C_cir19,25.308,263.694,561
tanh_Config4_Approx_10_6bit_C_cir15,32.49,322.029,956
tanh_Config2_Approx_100_6bit_C_cir1,44.802,638.059,1386
tanh_Config2_Approx_10_6bit_C_cir9,50.274,701.04,1507
tanh_Config4_Approx_100_6bit_B_cir10,27.36,301.089,778
tanh_Config2_Approx_10_6bit_C_cir5,46.854,717.558,1026
tanh_Config2_Approx_10_6bit_C_cir8,55.404,665.625,1499
tanh_Config2_Approx_10_6bit_C_cir16,49.59,658.61,1312
tanh_Config4_Approx_10_6bit_C_cir5,30.096,275.873,819
tanh_Config2_Approx_100_6bit_B_cir17,47.88,696.52,1641
tanh_Config4_Approx_100_10_6bit_C_cir18,25.308,299.107,459
tanh_Config2_Approx_10_6bit_B_cir7,42.408,574.312,918
tanh_Config4_Approx_100_10_6bit_C_cir0,27.018,231.865,985
tanh_Config4_Approx_100_6bit_B_cir11,31.464,354.105,813
tanh_Config2_Approx_100_6bit_B_cir9,46.512,627.453,1050
tanh_Config4_Approx_10_6bit_C_cir6,21.204,200.453,386
tanh_Config4_Approx_100_6bit_B_cir4,34.884,448.638,1035
tanh_Config4_Approx_100_6bit_B_cir2,26.334,286.834,875
tanh_Config4_Approx_10_6bit_B_cir16,31.122,317.947,1096
tanh_Config2_Approx_100_10_6bit_C_cir16,40.356,671.692,947
tanh_Config2_Approx_100_6bit_B_cir3,42.408,566.834,1044
tanh_Config2_Approx_10_6bit_B_cir5,43.092,620.184,1083
tanh_Config2_Approx_100_6bit_B_cir13,45.828,611.611,1819
tanh_Config4_Approx_100_6bit_B_cir9,20.862,204.787,348
tanh_Config2_Approx_10_6bit_C_cir12,40.356,509.869,654
tanh_Config2_Approx_100_6bit_B_cir14,46.512,776.873,1076
tanh_Config4_Approx_10_10_SL_6bit_C_cir1,20.862,242.504,466
tanh_Config4_Approx_10_10_SL_6bit_C_cir19,25.992,306.333,1006
tanh_Config4_Approx_100_10_6bit_C_cir12,26.334,306.537,563
tanh_Config2_Approx_10_6bit_C_cir17,40.356,628.175,1121
tanh_Config2_Approx_10_6bit_C_cir4,52.668,788.567,1927
tanh_Config2_Approx_10_6bit_C_cir1,48.906,633.705,1590
tanh_Config2_Approx_100_6bit_B_cir7,41.724,521.481,976
tanh_Config4_Approx_10_10_SL_6bit_C_cir13,19.494,202.115,373
tanh_Config2_Approx_100_6bit_B_cir6,47.88,696.053,1787
tanh_Config2_Approx_100_6bit_B_cir16,43.434,496.346,1616
tanh_Config2_Approx_10_6bit_B_cir8,40.356,499.21,1020
tanh_Config2_Approx_10_6bit_B_cir3,44.118,704.733,1132
tanh_Config4_Approx_100_10_6bit_C_cir17,20.178,193.097,434
