Circuit,Error_Count,Error_Probability,max_Absolute_error,min_Absolute_error,Standard_deviation,Hamming_distance,Mean_Absolute_error,Mean_Square_error,Mean_Relative_error,Median_Absolute_error,Mode_Absolute_error
tanh_Config1_Approx_10_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_6bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_6bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_10_6bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_6bit_C_cir5,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_6bit_C_cir13,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_6bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_6bit_C_cir4,0,0,0,0,0,0,0,0,0,0,0
tanh_Config1_Approx_100_10_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_6bit_C_cir11,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_10_6bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_6bit_C_cir0,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_6bit_C_cir1,0,0,0,0,0,0,0,0,0,0,0
tanh_Config4_Approx_100_6bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_10_6bit_C_cir14,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_6bit_C_cir10,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_10_6bit_C_cir6,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_6bit_C_cir12,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_6bit_C_cir18,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_6bit_C_cir15,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_10_6bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_100_6bit_C_cir7,0,0,0,0,0,0,0,0,0,0,0
tanh_Config2_Approx_10_6bit_C_cir3,0,0,0,0,0,0,0,0,0,0,0
